       N;       lnN;td
1006;9,97441459;0,235760437
1007;9,975847968;0,235759682
1008;9,977279923;0,235758929
1009;9,978710459;0,235758176
1010;9,980139578;0,235757426
1011;9,981567282;0,235756677
1012;9,982993575;0,235755929
1013;9,984418459;0,235755183
1014;9,985841937;0,235754438
1015;9,987264012;0,235753695
1016;9,988684687;0,235752953
1017;9,990103964;0,235752212
1018;9,991521846;0,235751473
1019;9,992938336;0,235750736
1020;9,994353437;0,23575
1021;9,995767151;0,235749265
1022;9,997179481;0,235748532
1023;9,99859043;0,235747801
1024;10;0,23574707
1025;10,00140819;0,235746341
1026;10,00281502;0,235745614
1027;10,00422047;0,235744888
1028;10,00562455;0,235744163
1029;10,00702727;0,23574344
1030;10,00842862;0,235742718
1031;10,00982862;0,235741998
1032;10,01122726;0,235741279
1033;10,01262454;0,235740561
1034;10,01402047;0,235739845
1035;10,01541505;0,23573913
1036;10,01680829;0,235738417
1037;10,01820018;0,235737705
1038;10,01959073;0,235736994
1039;10,02097994;0,235736285
1040;10,02236781;0,235735577
1041;10,02375435;0,23573487
1042;10,02513956;0,235734165
1043;10,02652344;0,235733461
1044;10,027906;0,235732759
1045;10,02928723;0,235732057
1046;10,03066714;0,235731358
1047;10,03204573;0,235730659
1048;10,033423;0,235729962
1049;10,03479896;0,235729266
1050;10,03617361;0,235728571
1051;10,03754695;0,235727878
1052;10,03891899;0,235727186
1053;10,04028972;0,235726496
1054;10,04165915;0,235725806
1055;10,04302728;0,235725118
1056;10,04439412;0,235724432
1057;10,04575966;0,235723746
1058;10,04712391;0,235723062
1059;10,04848687;0,23572238
1060;10,04984855;0,235721698
1061;10,05120894;0,235721018
1062;10,05256805;0,235720339
1063;10,05392588;0,235719661
1064;10,05528244;0,235718985
1065;10,05663772;0,23571831
1066;10,05799172;0,235717636
1067;10,05934446;0,235716963
1068;10,06069593;0,235716292
1069;10,06204614;0,235715622
1070;10,06339508;0,235714953
1071;10,06474276;0,235714286
1072;10,06608919;0,235713619
1073;10,06743436;0,235712954
1074;10,06877828;0,235712291
1075;10,07012094;0,235711628
1076;10,07146236;0,235710967
1077;10,07280253;0,235710306
1078;10,07414146;0,235709647
1079;10,07547915;0,23570899
1080;10,0768156;0,235708333
1081;10,07815081;0,235707678
1082;10,07948478;0,235707024
1083;10,08081753;0,235706371
1084;10,08214904;0,23570572
1085;10,08347933;0,235705069
1086;10,08480839;0,23570442
1087;10,08613623;0,235703772
1088;10,08746284;0,235703125
1089;10,08878824;0,235702479
1090;10,09011242;0,235701835
1091;10,09143539;0,235701192
1092;10,09275714;0,235700549
1093;10,09407769;0,235699909
1094;10,09539702;0,235699269
1095;10,09671515;0,23569863
1096;10,09803208;0,235697993
1097;10,09934781;0,235697356
1098;10,10066234;0,235696721
1099;10,10197567;0,235696087
1100;10,10328781;0,235695455
